,wheel-base,length,width,curb-weight,num-of-cylinders,engine-size,bore,horsepower,city-mpg,highway-mpg,price,drive-wheels_fwd,drive-wheels_rwd,fuel-system_2bbl,fuel-system_mpfi
70,120.9,208.1,71.7,3900,8,308,3.8,184,14,16,40960,0,1,0,1
71,112.0,199.2,72.0,3715,8,304,3.8,184,14,16,45400,0,1,0,1
72,102.7,178.4,68.0,2910,4,140,3.78,175,19,24,16503,0,1,0,1
73,93.7,157.3,64.4,1918,4,92,2.97,68,37,41,5389,1,0,1,0
74,93.7,157.3,64.4,1944,4,92,2.97,68,31,38,6189,1,0,1,0
75,93.7,157.3,64.4,2004,4,92,2.97,68,31,38,6669,1,0,1,0
76,93.0,157.3,63.8,2145,4,98,3.03,102,24,30,7689,1,0,0,0
77,96.3,173.0,65.4,2370,4,110,3.17,116,23,30,9959,1,0,0,0
78,96.3,173.0,65.4,2328,4,122,3.35,88,25,32,8499,1,0,1,0
79,95.9,173.2,66.3,2833,4,156,3.58,145,19,24,12629,1,0,0,0
80,95.9,173.2,66.3,2921,4,156,3.59,145,19,24,14869,1,0,0,0
81,95.9,173.2,66.3,2926,4,156,3.59,145,19,24,14489,1,0,0,0
82,96.3,172.4,65.4,2365,4,122,3.35,88,25,32,6989,1,0,1,0
83,96.3,172.4,65.4,2405,4,122,3.35,88,25,32,8189,1,0,1,0
84,96.3,172.4,65.4,2403,4,110,3.17,116,23,30,9279,1,0,0,0
85,96.3,172.4,65.4,2403,4,110,3.17,116,23,30,9279,1,0,0,0
86,94.5,165.3,63.8,1889,4,97,3.15,69,31,37,5499,1,0,1,0
87,94.5,165.3,63.8,2017,4,103,2.99,55,45,50,7099,1,0,0,0
88,94.5,165.3,63.8,1918,4,97,3.15,69,31,37,6649,1,0,1,0
89,94.5,165.3,63.8,1938,4,97,3.15,69,31,37,6849,1,0,1,0
90,94.5,170.2,63.8,2024,4,97,3.15,69,31,37,7349,1,0,1,0
91,94.5,165.3,63.8,1951,4,97,3.15,69,31,37,7299,1,0,1,0
92,94.5,165.6,63.8,2028,4,97,3.15,69,31,37,7799,1,0,1,0
93,94.5,165.3,63.8,1971,4,97,3.15,69,31,37,7499,1,0,1,0
94,94.5,170.2,63.8,2037,4,97,3.15,69,31,37,7999,1,0,1,0
95,95.1,162.4,63.8,2008,4,97,3.15,69,31,37,8249,1,0,1,0
96,97.2,173.4,65.2,2324,4,120,3.33,97,27,34,8949,1,0,1,0
97,97.2,173.4,65.2,2302,4,120,3.33,97,27,34,9549,1,0,1,0
98,100.4,181.7,66.5,3095,6,181,3.43,152,17,22,13499,1,0,0,1
99,100.4,184.6,66.5,3296,6,181,3.43,152,17,22,14399,1,0,0,1
100,100.4,184.6,66.5,3060,6,181,3.43,152,19,25,13499,1,0,0,1
101,91.3,170.7,67.9,3071,6,181,3.43,160,19,25,17199,0,1,0,1
102,91.3,170.7,67.9,3139,6,181,3.43,200,17,23,19699,0,1,0,1
103,99.2,178.5,67.9,3139,6,181,3.43,160,19,25,18399,0,1,0,1
104,107.9,186.7,68.4,3020,4,120,3.46,97,19,24,11900,0,1,0,1
105,107.9,186.7,68.4,3197,4,152,3.7,95,28,33,13200,0,1,0,0
106,114.2,198.9,68.4,3230,4,120,3.46,97,19,24,12440,0,1,0,1
107,114.2,198.9,68.4,3430,4,152,3.7,95,25,25,13860,0,1,0,0
108,107.9,186.7,68.4,3075,4,120,3.46,95,19,24,15580,0,1,0,1
109,107.9,186.7,68.4,3252,4,152,3.7,95,28,33,16900,0,1,0,0
110,114.2,198.9,68.4,3285,4,120,3.46,95,19,24,16695,0,1,0,1
111,114.2,198.9,68.4,3485,4,152,3.7,95,25,25,17075,0,1,0,0
112,107.9,186.7,68.4,3075,4,120,3.46,97,19,24,16630,0,1,0,1
113,107.9,186.7,68.4,3252,4,152,3.7,95,28,33,17950,0,1,0,0
114,108.0,186.7,68.3,3130,4,134,3.61,142,18,24,18150,0,1,0,1
115,93.7,157.3,63.8,1918,4,90,2.97,68,37,41,5572,1,0,1,0
116,93.7,157.3,63.8,2128,4,98,3.03,102,24,30,7957,1,0,0,0
117,93.7,157.3,63.8,1967,4,90,2.97,68,31,38,6229,1,0,1,0
118,93.7,167.3,63.8,1989,4,90,2.97,68,31,38,6692,1,0,1,0
119,93.7,167.3,63.8,2191,4,98,2.97,68,31,38,7609,1,0,1,0
120,103.3,174.6,64.6,2535,4,122,3.35,88,24,30,8921,1,0,1,0
121,95.9,173.2,66.3,2818,4,156,3.59,145,19,24,12764,0,1,0,0
122,94.5,168.9,68.3,2778,4,151,3.94,143,19,27,22018,0,1,0,1
123,89.5,168.9,65.0,2756,6,194,3.74,207,17,25,32528,0,1,0,1
124,89.5,168.9,65.0,2756,6,194,3.74,207,17,25,34028,0,1,0,1
125,89.5,168.9,65.0,2800,6,194,3.74,207,17,25,37028,0,1,0,1
126,96.1,181.5,66.5,2579,4,132,3.46,103,23,31,9295,1,0,0,1
127,96.1,176.8,66.6,2460,4,132,3.46,103,23,31,9895,1,0,0,1
128,99.1,186.6,66.5,2658,4,121,3.54,110,21,28,11850,1,0,0,1
129,99.1,186.6,66.5,2695,4,121,3.54,110,21,28,12170,1,0,0,1
130,99.1,186.6,66.5,2707,4,121,2.54,110,21,28,15040,1,0,0,1
131,99.1,186.6,66.5,2758,4,121,3.54,110,21,28,15510,1,0,0,1
132,99.1,186.6,66.5,2808,4,121,3.54,160,19,26,18150,1,0,0,1
133,99.1,186.6,66.5,2847,4,121,3.54,160,19,26,18620,1,0,0,1
134,93.7,156.9,63.4,2050,4,97,3.62,69,31,36,5118,1,0,1,0
135,93.7,157.9,63.6,2120,4,108,3.62,73,26,31,7053,1,0,1,0
136,93.3,157.3,63.8,2240,4,108,3.62,73,26,31,7603,0,0,1,0
137,97.2,172.0,65.4,2145,4,108,3.62,82,32,37,7126,1,0,1,0
138,97.2,172.0,65.4,2190,4,108,3.62,82,28,33,7775,1,0,1,0
139,97.2,172.0,65.4,2340,4,108,3.62,94,26,32,9960,1,0,0,1
140,97.0,172.0,65.4,2385,4,108,3.62,82,24,25,9233,0,0,1,0
141,97.0,172.0,65.4,2510,4,108,3.62,111,24,29,11259,0,0,0,1
142,97.0,173.5,65.4,2290,4,108,3.62,82,28,32,7463,1,0,1,0
143,97.0,173.5,65.4,2455,4,108,3.62,94,25,31,10198,1,0,0,1
144,96.9,173.6,65.4,2420,4,108,3.62,82,23,29,8013,0,0,1,0
145,96.9,173.6,65.4,2650,4,108,3.62,111,23,23,11694,0,0,0,1
146,95.7,158.7,63.6,1985,4,92,3.05,62,35,39,5348,1,0,1,0
147,95.7,158.7,63.6,2040,4,92,3.05,62,31,38,6338,1,0,1,0
148,95.7,158.7,63.6,2015,4,92,3.05,62,31,38,6488,1,0,1,0
149,95.7,169.7,63.6,2280,4,92,3.05,62,31,37,6918,1,0,1,0
150,95.7,169.7,63.6,2290,4,92,3.05,62,27,32,7898,0,0,1,0
151,95.7,169.7,63.6,3110,4,92,3.05,62,27,32,8778,0,0,1,0
152,95.7,166.3,64.4,2081,4,98,3.19,70,30,37,6938,1,0,1,0
153,95.7,166.3,64.4,2109,4,98,3.19,70,30,37,7198,1,0,1,0
154,95.7,166.3,64.4,2275,4,110,3.27,56,34,36,7898,1,0,0,0
155,95.7,166.3,64.4,2275,4,110,3.27,56,38,47,7788,1,0,0,0
156,95.7,166.3,64.4,2094,4,98,3.19,70,38,47,7738,1,0,1,0
157,95.7,166.3,64.4,2122,4,98,3.19,70,28,34,8358,1,0,1,0
158,95.7,166.3,64.4,2140,4,98,3.19,70,28,34,9258,1,0,1,0
159,94.5,168.7,64.0,2169,4,98,3.19,70,29,34,8058,0,1,1,0
160,94.5,168.7,64.0,2204,4,98,3.19,70,29,34,8238,0,1,1,0
161,94.5,168.7,64.0,2265,4,98,3.24,112,26,29,9298,0,1,0,1
162,94.5,168.7,64.0,2300,4,98,3.24,112,26,29,9538,0,1,0,1
163,98.4,176.2,65.6,2540,4,146,3.62,116,24,30,8449,0,1,0,1
164,98.4,176.2,65.6,2536,4,146,3.62,116,24,30,9639,0,1,0,1
165,98.4,176.2,65.6,2551,4,146,3.62,116,24,30,9989,0,1,0,1
166,98.4,176.2,65.6,2679,4,146,3.62,116,24,30,11199,0,1,0,1
167,98.4,176.2,65.6,2714,4,146,3.62,116,24,30,11549,0,1,0,1
168,98.4,176.2,65.6,2975,4,146,3.62,116,24,30,17669,0,1,0,1
169,102.4,175.6,66.5,2326,4,122,3.31,92,29,34,8948,1,0,0,1
170,102.4,175.6,66.5,2480,4,110,3.27,73,30,33,10698,1,0,0,0
171,102.4,175.6,66.5,2414,4,122,3.31,92,27,32,9988,1,0,0,1
172,102.4,175.6,66.5,2414,4,122,3.31,92,27,32,10898,1,0,0,1
173,102.4,175.6,66.5,2458,4,122,3.31,92,27,32,11248,1,0,0,1
174,102.9,183.5,67.7,2976,6,171,3.27,161,20,24,16558,0,1,0,1
175,102.9,183.5,67.7,3016,6,171,3.27,161,19,24,15998,0,1,0,1
176,104.5,187.8,66.5,3131,6,171,3.27,156,20,24,15690,0,1,0,1
177,104.5,187.8,66.5,3151,6,161,3.27,156,19,24,15750,0,1,0,1
178,97.3,171.7,65.5,2261,4,97,3.01,52,37,46,7775,1,0,0,0
179,97.3,171.7,65.5,2209,4,109,3.19,85,27,34,7975,1,0,0,1
180,97.3,171.7,65.5,2264,4,97,3.01,52,37,46,7995,1,0,0,0
181,97.3,171.7,65.5,2212,4,109,3.19,85,27,34,8195,1,0,0,1
182,97.3,171.7,65.5,2275,4,109,3.19,85,27,34,8495,1,0,0,1
183,97.3,171.7,65.5,2319,4,97,3.01,68,37,42,9495,1,0,0,0
184,97.3,171.7,65.5,2300,4,109,3.19,100,26,32,9995,1,0,0,1
185,94.5,159.3,64.2,2254,4,109,3.19,90,24,29,11595,1,0,0,1
186,94.5,165.7,64.0,2221,4,109,3.19,90,24,29,9980,1,0,0,1
187,100.4,180.2,66.9,2661,5,136,3.19,110,19,24,13295,1,0,0,1
188,100.4,180.2,66.9,2579,4,97,3.01,68,33,38,13845,1,0,0,0
189,100.4,183.1,66.9,2563,4,109,3.19,88,25,31,12290,1,0,0,1
190,104.3,188.8,67.2,2912,4,141,3.78,114,23,28,12940,0,1,0,1
191,104.3,188.8,67.2,3034,4,141,3.78,114,23,28,13415,0,1,0,1
192,104.3,188.8,67.2,2935,4,141,3.78,114,24,28,15985,0,1,0,1
193,104.3,188.8,67.2,3042,4,141,3.78,114,24,28,16515,0,1,0,1
194,104.3,188.8,67.2,3045,4,130,3.62,162,17,22,18420,0,1,0,1
195,104.3,188.8,67.2,3157,4,130,3.62,162,17,22,18950,0,1,0,1
196,109.1,188.8,68.9,2952,4,141,3.78,114,23,28,16845,0,1,0,1
197,109.1,188.8,68.8,3049,4,141,3.78,160,19,25,19045,0,1,0,1
198,109.1,188.8,68.9,3012,6,173,3.58,134,18,23,21485,0,1,0,1
199,109.1,188.8,68.9,3217,6,145,3.01,106,26,27,22470,0,1,0,0
200,109.1,188.8,68.9,3062,4,141,3.78,114,19,25,22625,0,1,0,1
